causality_pair,x_variable,y_variable,best_lag,f_statistic,p_value,significant,lag_1_f_stat,lag_1_p_value,lag_2_f_stat,lag_2_p_value,lag_3_f_stat,lag_3_p_value,lag_4_f_stat,lag_4_p_value,lag_5_f_stat,lag_5_p_value
net_flow → net_flow_lag6,net_flow,net_flow_lag6,5,1326.0272701998663,0.0,True,0.41530070365554045,0.5193413019038917,0.16967908138979265,0.8439438409257426,2.2827656385770823,0.07712451649872575,1.6253584167167716,0.1650127941563467,1326.0272701998663,0.0
whale_volume_ma30 → whale_volume_lag1,whale_volume_ma30,whale_volume_lag1,2,1278.776233853788,0.0,True,1115.799004488784,8.022965396526876e-208,1278.776233853788,0.0,969.684382154062,0.0,769.1552458107062,0.0,628.8355769896688,0.0
whale_volume_ma7 → whale_volume_lag1,whale_volume_ma7,whale_volume_lag1,2,1221.2855941314738,0.0,True,1130.9513389729111,3.299506755766141e-210,1221.2855941314738,0.0,907.5431732436069,0.0,704.9063183084625,0.0,570.7741303870807,0.0
whale_volume_usd → whale_volume_lag6,whale_volume_usd,whale_volume_lag6,5,775.5708236380138,0.0,True,0.6623602918776414,0.4157935026701366,0.27253981604526295,0.7614622746529742,0.1115062610495326,0.9534035412271666,2.515549412666785,0.03961930544144117,775.5708236380138,0.0
btc_price → target_price,btc_price,target_price,1,749.3609894117163,3.1117618800761716e-147,True,749.3609894117163,3.1117618800761716e-147,36.89355119718272,1.493850228269068e-16,1.7099856198133416,0.16277415427967482,0.24182171877459702,0.9146898840046046,3.575548656795229,0.0031634394064643263
whale_volume_ma30 → whale_volume_lag3,whale_volume_ma30,whale_volume_lag3,4,627.9479175520773,0.0,True,2.3421423227029163,0.12602335525614106,9.334186612293431,9.098772411346556e-05,529.4466829134585,3.225913877519436e-275,627.9479175520773,0.0,573.7683084922234,0.0
whale_volume_ma7 → whale_volume_lag3,whale_volume_ma7,whale_volume_lag3,4,597.7571847087722,0.0,True,0.5414963220486128,0.46187168753857,7.365848343488515,0.0006441855411902293,514.8537354676158,5.159350007301864e-269,597.7571847087722,0.0,534.5523686337244,0.0
exchange_outflow → net_flow_lag1,exchange_outflow,net_flow_lag1,2,593.8330830587718,1.828324724265254e-217,True,1114.3086535094249,1.378753751907337e-207,593.8330830587718,1.828324724265254e-217,398.00006560226694,4.818024042097553e-217,299.218511381817,3.4325107983289256e-216,240.42527439394277,8.96666114450869e-216
whale_volume_ma7 → whale_volume_usd,whale_volume_ma7,whale_volume_usd,1,360.1895382970581,7.020781175965843e-76,True,360.1895382970581,7.020781175965843e-76,156.50641080834603,2.5044074407949438e-65,80.06869675552036,8.575481678367769e-50,47.812608373560934,5.2644555016366544e-39,35.2097134666972,4.3150938085025764e-35
whale_volume_ma30 → whale_volume_usd,whale_volume_ma30,whale_volume_usd,1,340.9561781811063,3.8938781833674895e-72,True,340.9561781811063,3.8938781833674895e-72,135.21483489955997,6.512972334385707e-57,67.72718447870734,2.384049655806869e-42,42.77271515142589,6.312813481474502e-35,30.779052882868825,1.2829330569317698e-30
